gene,perm_importance_mean,perm_importance_std
OLFM1,2.8805547704657818e-05,9.443248249985102e-06
FGD5,2.8805547704657818e-05,9.443248249985102e-06
AL365356.1,2.8805547704657818e-05,9.443248249985102e-06
AL110115.2,2.868921448071493e-05,9.262160371639268e-06
LINC00520,2.8632501304981518e-05,1.4493588134414786e-05
CITED1,2.859405388977443e-05,1.7723735230077208e-05
NDC80,2.8561918812675113e-05,3.9362882451516686e-05
TTLL9,2.853735590032658e-05,9.861573177749446e-06
AC008764.8,2.8433996037202647e-05,2.3739199970008604e-05
AC004908.3,2.842494583765731e-05,9.633549183485357e-06
AL355102.3,2.8411486024659815e-05,1.5273688656643288e-05
AP000692.2,2.8377254110367733e-05,1.4228743016083566e-05
FOS,2.8342971823480668e-05,1.398320722172356e-05
HTRA3,2.8279334668424028e-05,3.8353761194071374e-05
IRX4,2.8087798405107554e-05,1.465829130348756e-05
KRT81,2.808364094646354e-05,6.634518489183557e-05
CENPE,2.803753173311607e-05,4.389777493689695e-05
C22orf34,2.744242907968264e-05,1.0098124272689931e-05
ATP2B1-AS1,2.7020047972581286e-05,1.6659867310964436e-05
IGFBP4,2.6660129878175454e-05,5.343251965754462e-05
HIST1H2AG,2.665005262665332e-05,4.59160236995556e-05
AC100786.1,2.663047996127599e-05,1.4349155474644489e-05
ALLC,2.660483465011243e-05,7.562733211341488e-06
CSMD2,2.660483465011243e-05,7.562733211341487e-06
LINC02334,2.655725435464218e-05,1.3083211936370119e-05
Z95114.4,2.645273311141505e-05,1.3532290822452554e-05
AL512625.3,2.6444735642161542e-05,7.082436187488827e-06
ABCD2,2.6444735642161542e-05,7.082436187488827e-06
CAMKV,2.6444735642161542e-05,7.082436187488827e-06
GEM,2.6383683416908444e-05,2.419809203125732e-05
AC104506.1,2.6328796294317058e-05,2.0575921279229986e-05
TTN,2.6168303410267767e-05,6.2531394918075025e-06
DCAF4L1,2.611170394644091e-05,1.28645295421805e-05
AL359541.1,2.611170394644091e-05,1.28645295421805e-05
IL33,2.60812910209407e-05,1.7034310902253737e-05
AL022328.2,2.6016558541785972e-05,7.225161887614019e-06
AC073050.1,2.6016558541785972e-05,7.225161887614019e-06
SYT12,2.6016558541785972e-05,7.225161887614019e-06
AC138028.2,2.6016558541785972e-05,7.225161887614019e-06
FAM83B,2.6016558541785972e-05,7.225161887614019e-06
PTHLH,2.5935466630644387e-05,4.9930877315386305e-05
DLGAP5,2.588259499325396e-05,4.2124843876809094e-05
LRP2BP,2.5869656927213215e-05,1.641852690505266e-05
